01:27:04.473 [main] INFO  testCases.TC_001_AccountRegistrationTest - launching chrome browser
01:27:06.468 [main] INFO  testCases.TC_001_AccountRegistrationTest - ********** TC_001_AccountRegistrationTest *********
01:27:06.559 [main] INFO  testCases.TC_001_AccountRegistrationTest - clicked on my account link
01:27:06.827 [main] INFO  testCases.TC_001_AccountRegistrationTest - Providing Customer details....
01:27:09.678 [main] INFO  testCases.TC_001_AccountRegistrationTest - Clicked on continue button....
01:27:09.722 [main] INFO  testCases.TC_001_AccountRegistrationTest - test passed
01:27:09.723 [main] INFO  testCases.TC_001_AccountRegistrationTest - ********** Finished  TC_001_AccountRegistrationTest *********
01:27:09.864 [main] INFO  testCases.TC_002_LoginTest - launching chrome browser
01:27:11.377 [main] INFO  testCases.TC_002_LoginTest - **************Starting TC_002_LoginTest**************
01:27:12.198 [main] INFO  testCases.TC_002_LoginTest - test passed
01:27:12.199 [main] INFO  testCases.TC_002_LoginTest - *****finished Login testcase*********
01:29:09.857 [main] INFO  testCases.TC_001_AccountRegistrationTest - launching chromebrowser
01:29:12.175 [main] INFO  testCases.TC_001_AccountRegistrationTest - ********** TC_001_AccountRegistrationTest *********
01:29:12.273 [main] INFO  testCases.TC_001_AccountRegistrationTest - clicked on my account link
01:29:12.518 [main] INFO  testCases.TC_001_AccountRegistrationTest - Providing Customer details....
01:29:15.367 [main] INFO  testCases.TC_001_AccountRegistrationTest - Clicked on continue button....
01:29:15.403 [main] INFO  testCases.TC_001_AccountRegistrationTest - test passed
01:29:15.405 [main] INFO  testCases.TC_001_AccountRegistrationTest - ********** Finished  TC_001_AccountRegistrationTest *********
01:29:15.513 [main] INFO  testCases.TC_002_LoginTest - launching chromebrowser
01:29:16.875 [main] INFO  testCases.TC_002_LoginTest - **************Starting TC_002_LoginTest**************
01:29:17.641 [main] INFO  testCases.TC_002_LoginTest - test passed
01:29:17.641 [main] INFO  testCases.TC_002_LoginTest - *****finished Login testcase*********
03:09:06.088 [main] INFO  testCases.TC_003_LoginDataDrivenTest - launching chromebrowser
03:09:09.643 [main] INFO  testCases.TC_003_LoginDataDrivenTest - *******starting TC_003_LoginDataDrivenTest************
03:09:20.391 [main] INFO  testCases.TC_003_LoginDataDrivenTest - ********finishing TC_003_LoginDataDrivenTest
03:09:20.416 [main] INFO  testCases.TC_003_LoginDataDrivenTest - *******starting TC_003_LoginDataDrivenTest************
03:09:31.109 [main] INFO  testCases.TC_003_LoginDataDrivenTest - ********finishing TC_003_LoginDataDrivenTest
03:09:31.132 [main] INFO  testCases.TC_003_LoginDataDrivenTest - *******starting TC_003_LoginDataDrivenTest************
03:09:41.876 [main] INFO  testCases.TC_003_LoginDataDrivenTest - ********finishing TC_003_LoginDataDrivenTest
03:09:41.885 [main] INFO  testCases.TC_003_LoginDataDrivenTest - *******starting TC_003_LoginDataDrivenTest************
03:09:52.553 [main] INFO  testCases.TC_003_LoginDataDrivenTest - ********finishing TC_003_LoginDataDrivenTest
03:09:52.556 [main] INFO  testCases.TC_003_LoginDataDrivenTest - *******starting TC_003_LoginDataDrivenTest************
03:14:32.892 [main] INFO  testCases.TC_003_LoginDataDrivenTest - launching chromebrowser
03:14:35.807 [main] INFO  testCases.TC_003_LoginDataDrivenTest - *******starting TC_003_LoginDataDrivenTest************
03:14:46.513 [main] INFO  testCases.TC_003_LoginDataDrivenTest - ********finishing TC_003_LoginDataDrivenTest
